filepath,label
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (445).jpg,7
../Dataset_Of_animal_Images/Hen/train/images/HEN (594).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (741).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (2494).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (229).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (3080).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (802).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (3882).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2950).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1231).jpg,5
../Dataset_Of_animal_Images/Hen/train/images/HEN (1107).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (653).jpg,7
../Dataset_Of_animal_Images/Hen/train/images/HEN (1028).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1075).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (736).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (254).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (3117).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1719).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (946).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2001).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (139).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2323).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (408).jpg,0
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1200).jpg,7
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1394).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (611).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (532).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (1431).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (1539).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2550).jpg,0
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (663).jpg,7
../Dataset_Of_animal_Images/Hen/train/images/HEN (1218).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (109).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (42).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (110).jpg,3
../Dataset_Of_animal_Images/Goat/train/images/Goat (830).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (1116).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (916).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (2713).jpg,2
../Dataset_Of_animal_Images/Goat/train/images/Goat (716).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (1106).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (3350).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (152).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2130).jpg,6
../Dataset_Of_animal_Images/Hen/train/images/HEN (727).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (821).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (2401).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (1164).jpg,5
../Dataset_Of_animal_Images/Cow/train/images/Cow (623).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (249).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2156).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (1119).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2356).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (850).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (3019).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1471).jpg,6
../Dataset_Of_animal_Images/Hen/train/images/HEN (906).jpg,5
../Dataset_Of_animal_Images/Hen/train/images/HEN (587).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (291).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (455).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1028).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (3675).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1982).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (580).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2569).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (2082).jpg,0
../Dataset_Of_animal_Images/Goat/train/images/Goat (877).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (2271).jpg,2
../Dataset_Of_animal_Images/Cow/train/images/Cow (877).jpg,1
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (382).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (1256).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (58).jpg,5
../Dataset_Of_animal_Images/Goat/train/images/Goat (316).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (2145).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (1194).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2121).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (933).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (1378).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2004).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (712).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1358).jpg,3
../Dataset_Of_animal_Images/Goat/train/images/Goat (574).jpg,4
../Dataset_Of_animal_Images/Cat/train/images/Cat (1881).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2159).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (707).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1385).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (416).jpg,6
../Dataset_Of_animal_Images/Hen/train/images/HEN (638).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (743).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (2187).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (166).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (801).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1914).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (2080).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (990).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (2659).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (600).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (1540).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (986).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (537).jpg,6
../Dataset_Of_animal_Images/Hen/train/images/HEN (1747).jpg,5
../Dataset_Of_animal_Images/Cow/train/images/Cow (854).jpg,1
../Dataset_Of_animal_Images/Hen/train/images/HEN (15).jpg,5
../Dataset_Of_animal_Images/Goat/train/images/Goat (168).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (2156).jpg,3
../Dataset_Of_animal_Images/Goat/train/images/Goat (525).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (2362).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1946).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1002).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (1284).jpg,0
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (93).jpg,7
../Dataset_Of_animal_Images/Goat/train/images/Goat (803).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (1064).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (3510).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (1256).jpg,0
../Dataset_Of_animal_Images/Dog/train/images/Dog (1272).jpg,3
../Dataset_Of_animal_Images/Cow/train/images/Cow (805).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (393).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (3628).jpg,2
../Dataset_Of_animal_Images/Goat/train/images/Goat (72).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (3297).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (1448).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (2528).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1958).jpg,5
../Dataset_Of_animal_Images/Hen/train/images/HEN (333).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (1259).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2247).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (651).jpg,5
../Dataset_Of_animal_Images/Cow/train/images/Cow (65).jpg,1
../Dataset_Of_animal_Images/Goat/train/images/Goat (504).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (2068).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1607).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (661).jpg,7
../Dataset_Of_animal_Images/Goat/train/images/Goat (402).jpg,4
../Dataset_Of_animal_Images/Hen/train/images/HEN (659).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (666).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (1883).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (927).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (2263).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2232).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1347).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (1014).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (1186).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (2663).jpg,0
../Dataset_Of_animal_Images/Cow/train/images/Cow (867).jpg,1
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (871).jpg,7
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1671).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1026).jpg,6
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (896).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (2767).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (1992).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (553).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (1380).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1187).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (952).jpg,2
../Dataset_Of_animal_Images/Goat/train/images/Goat (435).jpg,4
../Dataset_Of_animal_Images/Cat/train/images/Cat (1478).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (920).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1757).jpg,6
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (613).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (774).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (3686).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2462).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1177).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1621).jpg,6
../Dataset_Of_animal_Images/Hen/train/images/HEN (1537).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (2835).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1558).jpg,5
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1102).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (2317).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (506).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (1534).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (1530).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (741).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (1605).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (685).jpg,6
../Dataset_Of_animal_Images/Deer/train/images/Deer (134).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1151).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (678).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1236).jpg,7
../Dataset_Of_animal_Images/Goat/train/images/Goat (457).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (611).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1681).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (1331).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (1944).jpg,0
../Dataset_Of_animal_Images/Dog/train/images/Dog (2356).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (2082).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (879).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (1831).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (1806).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (835).jpg,0
../Dataset_Of_animal_Images/Cow/train/images/Cow (6).jpg,1
../Dataset_Of_animal_Images/Goat/train/images/Goat (398).jpg,4
../Dataset_Of_animal_Images/Dog/train/images/Dog (1489).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (607).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (6).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (1479).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (411).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (3387).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (3290).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1300).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (817).jpg,3
../Dataset_Of_animal_Images/Cow/train/images/Cow (642).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (72).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (3369).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (1600).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (717).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (572).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (14).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (2888).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (174).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (1691).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1872).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (362).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (3780).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1440).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (1184).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (3402).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2002).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (574).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1102).jpg,7
../Dataset_Of_animal_Images/Goat/train/images/Goat (54).jpg,4
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (880).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (357).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (380).jpg,5
../Dataset_Of_animal_Images/Hen/train/images/HEN (819).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (3601).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (279).jpg,5
../Dataset_Of_animal_Images/Deer/train/images/Deer (1126).jpg,2
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1265).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (1167).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (2058).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (3309).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (1738).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (178).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (3336).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (776).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (2060).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (1403).jpg,3
../Dataset_Of_animal_Images/Goat/train/images/Goat (839).jpg,4
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (2017).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1688).jpg,6
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1803).jpg,6
../Dataset_Of_animal_Images/Goat/train/images/Goat (285).jpg,4
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (760).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (908).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (2019).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (839).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1008).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (1114).jpg,0
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1458).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (182).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (1400).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (300).jpg,2
../Dataset_Of_animal_Images/Cow/train/images/Cow (752).jpg,1
../Dataset_Of_animal_Images/Dog/train/images/Dog (1232).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (788).jpg,7
../Dataset_Of_animal_Images/Cow/train/images/Cow (525).jpg,1
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1399).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (828).jpg,7
../Dataset_Of_animal_Images/Cat/train/images/Cat (2383).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (1362).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (1983).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (2782).jpg,2
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (823).jpg,6
../Dataset_Of_animal_Images/Cat/train/images/Cat (482).jpg,0
../Dataset_Of_animal_Images/Deer/train/images/Deer (2895).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (1472).jpg,5
../Dataset_Of_animal_Images/Cat/train/images/Cat (2828).jpg,0
../Dataset_Of_animal_Images/Cat/train/images/Cat (2496).jpg,0
../Dataset_Of_animal_Images/Hen/train/images/HEN (507).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (1125).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (2261).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (847).jpg,3
../Dataset_Of_animal_Images/Rabbit/train/images/Rabbit (1326).jpg,6
../Dataset_Of_animal_Images/Dog/train/images/Dog (90).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (1605).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (98).jpg,3
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (655).jpg,7
../Dataset_Of_animal_Images/Dog/train/images/Dog (1696).jpg,3
../Dataset_Of_animal_Images/Cow/train/images/Cow (466).jpg,1
../Dataset_Of_animal_Images/Cat/train/images/Cat (1854).jpg,0
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (605).jpg,7
../Dataset_Of_animal_Images/Deer/train/images/Deer (138).jpg,2
../Dataset_Of_animal_Images/Hen/train/images/HEN (331).jpg,5
../Dataset_Of_animal_Images/Cow/train/images/Cow (607).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (834).jpg,2
../Dataset_Of_animal_Images/Goat/train/images/Goat (570).jpg,4
../Dataset_Of_animal_Images/Deer/train/images/Deer (416).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (805).jpg,3
../Dataset_Of_animal_Images/Dog/train/images/Dog (1186).jpg,3
../Dataset_Of_animal_Images/Cat/train/images/Cat (1172).jpg,0
../Dataset_Of_animal_Images/Dog/train/images/Dog (568).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (891).jpg,2
../Dataset_Of_animal_Images/Deer/train/images/Deer (2191).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1936).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (645).jpg,5
../Dataset_Of_animal_Images/Dog/train/images/Dog (1528).jpg,3
../Dataset_Of_animal_Images/Deer/train/images/Deer (1120).jpg,2
../Dataset_Of_animal_Images/Dog/train/images/Dog (1569).jpg,3
../Dataset_Of_animal_Images/Hen/train/images/HEN (515).jpg,5
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (465).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (192).jpg,7
../Dataset_Of_animal_Images/Sheep/train/images/Sheep (1257).jpg,7
../Dataset_Of_animal_Images/Cow/train/images/Cow (39).jpg,1
../Dataset_Of_animal_Images/Deer/train/images/Deer (3237).jpg,2
../Dataset_Of_animal_Images/Cat/train/images/Cat (303).jpg,0
